video_stem,frame_idx,mask_path,mask_readable,lv_area_pixels,lv_area_percent,height,width
0X100009310A3BD7FC,46,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100009310A3BD7FC_frame0046.png,True,1342.0,10.698341836734693,112,112
0X100009310A3BD7FC,61,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100009310A3BD7FC_frame0061.png,True,562.0,4.480229591836735,112,112
0X1002E8FBACD08477,3,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1002E8FBACD08477_frame0003.png,True,1219.0,9.717793367346939,112,112
0X1002E8FBACD08477,18,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1002E8FBACD08477_frame0018.png,True,680.0,5.420918367346939,112,112
0X1005D03EED19C65B,24,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1005D03EED19C65B_frame0024.png,True,836.0,6.6645408163265305,112,112
0X1005D03EED19C65B,35,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1005D03EED19C65B_frame0035.png,True,472.0,3.7627551020408165,112,112
0X10075961BC11C88E,91,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10075961BC11C88E_frame0091.png,True,1074.0,8.56186224489796,112,112
0X10075961BC11C88E,108,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10075961BC11C88E_frame0108.png,True,673.0,5.365114795918367,112,112
0X10094BA0A028EAC3,137,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10094BA0A028EAC3_frame0137.png,True,2054.0,16.37436224489796,112,112
0X10094BA0A028EAC3,156,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10094BA0A028EAC3_frame0156.png,True,1673.0,13.337053571428571,112,112
0X100CF05D141FF143,132,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100CF05D141FF143_frame0132.png,True,1312.0,10.459183673469388,112,112
0X100CF05D141FF143,148,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100CF05D141FF143_frame0148.png,True,802.0,6.393494897959184,112,112
0X100E3B8D3280BEC5,25,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100E3B8D3280BEC5_frame0025.png,True,1210.0,9.646045918367347,112,112
0X100E3B8D3280BEC5,38,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100E3B8D3280BEC5_frame0038.png,True,928.0,7.3979591836734695,112,112
0X100E491B3CD58DE2,49,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100E491B3CD58DE2_frame0049.png,True,1340.0,10.682397959183673,112,112
0X100E491B3CD58DE2,75,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100E491B3CD58DE2_frame0075.png,True,1040.0,8.290816326530612,112,112
0X100F044876B98F90,56,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100F044876B98F90_frame0056.png,True,1209.0,9.638073979591837,112,112
0X100F044876B98F90,72,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X100F044876B98F90_frame0072.png,True,617.0,4.918686224489796,112,112
0X101026B90DAE7E95,45,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101026B90DAE7E95_frame0045.png,True,1687.0,13.448660714285714,112,112
0X101026B90DAE7E95,62,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101026B90DAE7E95_frame0062.png,True,1197.0,9.542410714285714,112,112
0X1012703CDC1436FE,154,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1012703CDC1436FE_frame0154.png,True,2168.0,17.283163265306122,112,112
0X1012703CDC1436FE,172,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1012703CDC1436FE_frame0172.png,True,1593.0,12.699298469387756,112,112
0X1013E8A4864781B,35,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1013E8A4864781B_frame0035.png,True,542.0,4.3207908163265305,112,112
0X1013E8A4864781B,46,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1013E8A4864781B_frame0046.png,True,282.0,2.2480867346938775,112,112
0X1018521A3BC5CDBA,42,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1018521A3BC5CDBA_frame0042.png,True,1152.0,9.183673469387756,112,112
0X1018521A3BC5CDBA,57,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1018521A3BC5CDBA_frame0057.png,True,745.0,5.939094387755102,112,112
0X101C388397F66EDB,46,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101C388397F66EDB_frame0046.png,True,1697.0,13.528380102040817,112,112
0X101C388397F66EDB,62,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101C388397F66EDB_frame0062.png,True,997.0,7.948022959183674,112,112
0X101CFC9C5351DCBE,59,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101CFC9C5351DCBE_frame0059.png,True,1597.0,12.731186224489797,112,112
0X101CFC9C5351DCBE,73,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101CFC9C5351DCBE_frame0073.png,True,1027.0,8.18718112244898,112,112
0X101E654AF3FC07A8,109,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101E654AF3FC07A8_frame0109.png,True,788.0,6.281887755102041,112,112
0X101E654AF3FC07A8,132,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X101E654AF3FC07A8_frame0132.png,True,405.0,3.2286352040816326,112,112
0X10267ADF2E644E0,150,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10267ADF2E644E0_frame0150.png,True,1131.0,9.01626275510204,112,112
0X10267ADF2E644E0,172,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10267ADF2E644E0_frame0172.png,True,619.0,4.934630102040816,112,112
0X102AE9C68B2C46DA,48,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102AE9C68B2C46DA_frame0048.png,True,902.0,7.190688775510204,112,112
0X102AE9C68B2C46DA,63,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102AE9C68B2C46DA_frame0063.png,True,599.0,4.775191326530612,112,112
0X102C51641C321436,0,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102C51641C321436_frame0000.png,True,1616.0,12.88265306122449,112,112
0X102C51641C321436,15,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102C51641C321436_frame0015.png,True,1103.0,8.793048469387756,112,112
0X102CFB07F752AAE6,163,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102CFB07F752AAE6_frame0163.png,True,1502.0,11.973852040816327,112,112
0X102CFB07F752AAE6,184,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102CFB07F752AAE6_frame0184.png,True,1013.0,8.075573979591837,112,112
0X102DD1B9BE03716,52,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102DD1B9BE03716_frame0052.png,True,1875.0,14.947385204081632,112,112
0X102DD1B9BE03716,71,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102DD1B9BE03716_frame0071.png,True,1162.0,9.263392857142858,112,112
0X102E453603FA1440,46,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102E453603FA1440_frame0046.png,True,1932.0,15.401785714285714,112,112
0X102E453603FA1440,60,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102E453603FA1440_frame0060.png,True,1001.0,7.979910714285714,112,112
0X102E94908346DE1D,116,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102E94908346DE1D_frame0116.png,True,1054.0,8.402423469387756,112,112
0X102E94908346DE1D,138,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102E94908346DE1D_frame0138.png,True,757.0,6.034757653061225,112,112
0X102F3D4CD5E10801,0,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102F3D4CD5E10801_frame0000.png,True,1555.0,12.396364795918368,112,112
0X102F3D4CD5E10801,22,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X102F3D4CD5E10801_frame0022.png,True,1060.0,8.450255102040817,112,112
0X10365E52F01510B4,28,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10365E52F01510B4_frame0028.png,True,1480.0,11.798469387755102,112,112
0X10365E52F01510B4,36,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10365E52F01510B4_frame0036.png,True,883.0,7.03922193877551,112,112
0X1039108E17193B1C,60,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1039108E17193B1C_frame0060.png,True,1853.0,14.772002551020408,112,112
0X1039108E17193B1C,79,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1039108E17193B1C_frame0079.png,True,1149.0,9.159757653061224,112,112
0X1039B49145DF4F25,40,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1039B49145DF4F25_frame0040.png,True,989.0,7.8842474489795915,112,112
0X1039B49145DF4F25,57,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1039B49145DF4F25_frame0057.png,True,599.0,4.775191326530612,112,112
0X103A55B2546EF36E,166,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X103A55B2546EF36E_frame0166.png,True,1557.0,12.412308673469388,112,112
0X103A55B2546EF36E,186,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X103A55B2546EF36E_frame0186.png,True,952.0,7.589285714285714,112,112
0X103BE163257D663A,47,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X103BE163257D663A_frame0047.png,True,946.0,7.541454081632653,112,112
0X103BE163257D663A,69,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X103BE163257D663A_frame0069.png,True,584.0,4.655612244897959,112,112
0X1040C376CF369A01,52,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1040C376CF369A01_frame0052.png,True,863.0,6.879783163265306,112,112
0X1040C376CF369A01,64,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1040C376CF369A01_frame0064.png,True,518.0,4.129464285714286,112,112
0X1040D64234D3E916,90,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1040D64234D3E916_frame0090.png,True,1471.0,11.72672193877551,112,112
0X1040D64234D3E916,108,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1040D64234D3E916_frame0108.png,True,806.0,6.425382653061225,112,112
0X1043D3D352972862,91,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1043D3D352972862_frame0091.png,True,1224.0,9.75765306122449,112,112
0X1043D3D352972862,113,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1043D3D352972862_frame0113.png,True,847.0,6.752232142857143,112,112
0X1045F1B5A0A5EA54,57,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1045F1B5A0A5EA54_frame0057.png,True,1034.0,8.24298469387755,112,112
0X1045F1B5A0A5EA54,73,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1045F1B5A0A5EA54_frame0073.png,True,694.0,5.532525510204081,112,112
0X104D2C3D60AE3DE8,145,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X104D2C3D60AE3DE8_frame0145.png,True,2709.0,21.595982142857142,112,112
0X104D2C3D60AE3DE8,163,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X104D2C3D60AE3DE8_frame0163.png,True,1501.0,11.965880102040817,112,112
0X105039B849CDB1CD,55,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X105039B849CDB1CD_frame0055.png,True,1536.0,12.244897959183673,112,112
0X105039B849CDB1CD,73,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X105039B849CDB1CD_frame0073.png,True,870.0,6.935586734693878,112,112
0X10516E63208D8EA1,51,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10516E63208D8EA1_frame0051.png,True,1503.0,11.981823979591837,112,112
0X10516E63208D8EA1,66,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10516E63208D8EA1_frame0066.png,True,905.0,7.214604591836735,112,112
0X1055D6B76E5D7556,75,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1055D6B76E5D7556_frame0075.png,True,877.0,6.991390306122449,112,112
0X1055D6B76E5D7556,90,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1055D6B76E5D7556_frame0090.png,True,534.0,4.257015306122449,112,112
0X10569E00E4DFFF7D,36,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10569E00E4DFFF7D_frame0036.png,True,911.0,7.262436224489796,112,112
0X10569E00E4DFFF7D,53,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X10569E00E4DFFF7D_frame0053.png,True,368.0,2.933673469387755,112,112
0X1059077339EF0869,90,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1059077339EF0869_frame0090.png,True,1372.0,10.9375,112,112
0X1059077339EF0869,116,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X1059077339EF0869_frame0116.png,True,767.0,6.114477040816326,112,112
0X105B9EF57DE45DCB,106,/Users/jiyoonoh/Documents/Echonet_temporal_XAI/data/processed/masks/0X105B9EF57DE45DCB_frame0106.png,True,1937.0,15.441645408163266,112,112
