video_stem,frame_idx,centroid_x,centroid_y,lv_area_pixels,image_width,image_height
0X100009310A3BD7FC,46,63.1177347242921,46.236959761549926,1342.0,112,112
0X100009310A3BD7FC,61,62.2491103202847,44.163701067615655,562.0,112,112
0X1002E8FBACD08477,3,61.91878589007383,49.62264150943396,1219.0,112,112
0X1002E8FBACD08477,18,63.25588235294118,48.563235294117646,680.0,112,112
0X1005D03EED19C65B,24,74.93301435406698,45.33253588516747,836.0,112,112
0X1005D03EED19C65B,35,73.22457627118644,44.394067796610166,472.0,112,112
0X10075961BC11C88E,91,63.968342644320295,52.5633147113594,1074.0,112,112
0X10075961BC11C88E,108,60.24962852897474,51.96731054977712,673.0,112,112
0X10094BA0A028EAC3,137,62.90116845180136,58.53261927945472,2054.0,112,112
0X10094BA0A028EAC3,156,59.06276150627615,57.21338912133891,1673.0,112,112
0X100CF05D141FF143,132,60.489329268292686,54.114329268292686,1312.0,112,112
0X100CF05D141FF143,148,59.268079800498754,51.52369077306733,802.0,112,112
0X100E3B8D3280BEC5,25,66.74545454545455,53.57190082644628,1210.0,112,112
0X100E3B8D3280BEC5,38,66.38685344827586,52.21443965517241,928.0,112,112
0X100E491B3CD58DE2,49,61.15,46.75,1340.0,112,112
0X100E491B3CD58DE2,75,59.058653846153845,44.20192307692308,1040.0,112,112
0X100F044876B98F90,56,65.47642679900744,42.252274607113314,1209.0,112,112
0X100F044876B98F90,72,64.63371150729336,40.55429497568882,617.0,112,112
0X101026B90DAE7E95,45,59.29342027267339,54.75933609958506,1687.0,112,112
0X101026B90DAE7E95,62,60.83208020050125,53.25062656641604,1197.0,112,112
0X1012703CDC1436FE,154,64.55166051660517,63.11623616236162,2168.0,112,112
0X1012703CDC1436FE,172,65.6961707470182,63.516007532956685,1593.0,112,112
0X1013E8A4864781B,35,53.01291512915129,50.26568265682657,542.0,112,112
0X1013E8A4864781B,46,55.02482269503546,51.8936170212766,282.0,112,112
0X1018521A3BC5CDBA,42,58.72222222222222,43.98003472222222,1152.0,112,112
0X1018521A3BC5CDBA,57,60.02281879194631,42.63758389261745,745.0,112,112
0X101C388397F66EDB,46,66.15380082498527,64.85798467884501,1697.0,112,112
0X101C388397F66EDB,62,66.09528585757272,62.74523570712137,997.0,112,112
0X101CFC9C5351DCBE,59,63.98559799624296,61.72573575453976,1597.0,112,112
0X101CFC9C5351DCBE,73,57.74878286270691,59.776046738072054,1027.0,112,112
0X101E654AF3FC07A8,109,62.12690355329949,45.121827411167516,788.0,112,112
0X101E654AF3FC07A8,132,60.4,44.46913580246913,405.0,112,112
0X10267ADF2E644E0,150,59.09106984969054,54.70733863837312,1131.0,112,112
0X10267ADF2E644E0,172,59.60258481421648,49.36187399030695,619.0,112,112
0X102AE9C68B2C46DA,48,56.23392461197339,45.12084257206208,902.0,112,112
0X102AE9C68B2C46DA,63,58.17529215358932,45.495826377295494,599.0,112,112
0X102C51641C321436,0,59.978341584158414,51.25309405940594,1616.0,112,112
0X102C51641C321436,15,58.227561196736175,48.79963735267452,1103.0,112,112
0X102CFB07F752AAE6,163,75.27296937416777,59.63515312916112,1502.0,112,112
0X102CFB07F752AAE6,184,73.16683119447187,57.71865745310958,1013.0,112,112
0X102DD1B9BE03716,52,58.95466666666667,48.224,1875.0,112,112
0X102DD1B9BE03716,71,54.6592082616179,44.802065404475044,1162.0,112,112
0X102E453603FA1440,46,64.79813664596273,47.59213250517598,1932.0,112,112
0X102E453603FA1440,60,62.24575424575425,47.68931068931069,1001.0,112,112
0X102E94908346DE1D,116,62.27514231499051,64.63851992409867,1054.0,112,112
0X102E94908346DE1D,138,60.4782034346103,63.98282694848085,757.0,112,112
0X102F3D4CD5E10801,0,59.28938906752411,49.91189710610932,1555.0,112,112
0X102F3D4CD5E10801,22,60.179245283018865,48.56698113207547,1060.0,112,112
0X10365E52F01510B4,28,58.258783783783784,59.58783783783784,1480.0,112,112
0X10365E52F01510B4,36,51.72140430351076,61.47112117780294,883.0,112,112
0X1039108E17193B1C,60,60.691851052347545,56.88019427954668,1853.0,112,112
0X1039108E17193B1C,79,61.5970409051349,54.29068755439513,1149.0,112,112
0X1039B49145DF4F25,40,58.406471183013146,40.869565217391305,989.0,112,112
0X1039B49145DF4F25,57,54.41068447412354,38.974958263772955,599.0,112,112
0X103A55B2546EF36E,166,58.76621708413616,44.36673089274245,1557.0,112,112
0X103A55B2546EF36E,186,56.5063025210084,43.142857142857146,952.0,112,112
0X103BE163257D663A,47,59.56025369978858,62.791754756871036,946.0,112,112
0X103BE163257D663A,69,58.02054794520548,63.37842465753425,584.0,112,112
0X1040C376CF369A01,52,62.96871378910777,42.493626882966396,863.0,112,112
0X1040C376CF369A01,64,56.445945945945944,41.05791505791506,518.0,112,112
0X1040D64234D3E916,90,62.41128484024473,44.29775662814412,1471.0,112,112
0X1040D64234D3E916,108,57.63399503722084,44.92928039702233,806.0,112,112
0X1043D3D352972862,91,54.66013071895425,51.90604575163399,1224.0,112,112
0X1043D3D352972862,113,52.21133412042503,50.53010625737898,847.0,112,112
0X1045F1B5A0A5EA54,57,64.43810444874275,50.244680851063826,1034.0,112,112
0X1045F1B5A0A5EA54,73,61.60086455331412,48.4956772334294,694.0,112,112
0X104D2C3D60AE3DE8,145,57.85861941675895,67.29420450350683,2709.0,112,112
0X104D2C3D60AE3DE8,163,58.16988674217188,61.47968021319121,1501.0,112,112
0X105039B849CDB1CD,55,66.10807291666667,52.634114583333336,1536.0,112,112
0X105039B849CDB1CD,73,64.78045977011494,50.1,870.0,112,112
0X10516E63208D8EA1,51,57.72255489021956,51.9148369926813,1503.0,112,112
0X10516E63208D8EA1,66,54.0353591160221,50.822099447513814,905.0,112,112
0X1055D6B76E5D7556,75,53.83808437856328,47.74800456100342,877.0,112,112
0X1055D6B76E5D7556,90,54.51123595505618,46.149812734082396,534.0,112,112
0X10569E00E4DFFF7D,36,60.47310647639956,42.30076838638858,911.0,112,112
0X10569E00E4DFFF7D,53,59.02173913043478,39.05978260869565,368.0,112,112
0X1059077339EF0869,90,65.34256559766764,47.2201166180758,1372.0,112,112
0X1059077339EF0869,116,65.56975228161669,44.78226857887875,767.0,112,112
0X105B9EF57DE45DCB,106,60.033557046979865,70.55240061951471,1937.0,112,112
0X105B9EF57DE45DCB,121,57.26691449814126,68.5092936802974,1345.0,112,112
0X105CDF495F9A9A43,71,62.90148830616584,48.71367824238129,1411.0,112,112
0X105CDF495F9A9A43,89,61.794520547945204,47.57420091324201,876.0,112,112
0X105D400DBDB7A1FA,78,54.71131765992345,66.30836522689995,1829.0,112,112
0X105D400DBDB7A1FA,96,53.27966881324747,64.34958601655934,1087.0,112,112
0X105E0E36E611D657,69,74.51100375738056,65.25818572195384,1863.0,112,112
0X105E0E36E611D657,86,74.45896656534954,60.82370820668693,1316.0,112,112
0X10623D3AF96AC271,34,62.265669742284445,66.50715876551065,3143.0,112,112
0X10623D3AF96AC271,52,57.8099395567495,66.67226326393553,1489.0,112,112
0X1062E316DF137FDB,123,60.13305613305613,41.05093555093555,962.0,112,112
0X1062E316DF137FDB,140,58.49292929292929,41.25252525252525,495.0,112,112
0X10648BFB1458861,30,53.02096680256261,56.198602213162495,1717.0,112,112
0X10648BFB1458861,39,48.49619611158073,57.8647506339814,1183.0,112,112
0X106766224781FAE2,47,59.9001677852349,44.6501677852349,1192.0,112,112
0X106766224781FAE2,65,58.209944751381215,44.732044198895025,724.0,112,112
0X106A8FDB8A83534B,60,68.10097719869707,47.2614006514658,1228.0,112,112
0X106A8FDB8A83534B,72,67.03198887343532,42.720445062586926,719.0,112,112
0X106B384BEED608E3,68,65.24269204622706,47.968728755948334,1471.0,112,112
0X106B384BEED608E3,83,62.80856423173803,46.15491183879093,794.0,112,112
0X106E73F4961CC47B,88,48.914965986394556,54.300170068027214,1176.0,112,112
0X106E73F4961CC47B,104,42.378531073446325,49.190677966101696,708.0,112,112
0X106EA7D9DEC59EA9,96,57.212885154061624,45.5140056022409,1428.0,112,112
0X106EA7D9DEC59EA9,110,55.74603174603175,43.84761904761905,945.0,112,112
